country_code,code,name,active
BS,43,Hope Town,true
BS,13,Inagua,true
BS,15,Long Island,true
BS,44,Mangrove Cay,true
BS,16,Mayaguana,true
BS,45,Moore’s Island,true
BS,23,New Providence,true
BS,46,North Abaco,true
BS,47,North Andros,true
BS,48,North Eleuthera,true
BS,18,Ragged Island,true
BS,49,Rum Cay,true
BS,35,San Salvador,true
BS,50,South Abaco,true
BS,51,South Andros,true
BS,52,South Eleuthera,true
BS,53,Spanish Wells,true
BS,54,West Grand Bahama,true
BT,05,Bumthang District,true
BT,06,Chukha,true
BT,08,Dagana,true
BT,23,Gasa,true
BT,10,Haa,true
BT,11,Lhuntse,true
BT,12,Mongar,true
BT,13,Paro,true
BT,14,Pemagatshel,true
BT,15,Punakha,true
BT,17,Samdrup Jongkhar,true
BT,16,Samtse District,true
BT,09,Sarpang District,true
BT,20,Thimphu District,true
BT,21,Tongsa,true
BT,24,Trashi Yangste,true
BT,19,Trashigang District,true
BT,07,Tsirang District,true
BT,22,Wangdi Phodrang,true
BT,18,Zhemgang District,true
BW,01,Central,true
BW,12,Chobe,true
BW,13,City of Francistown,true
BW,14,Gaborone,true
BW,03,Ghanzi,true
BW,15,Jwaneng,true
BW,04,Kgalagadi,true
BW,05,Kgatleng,true
BW,06,Kweneng,true
BW,16,Lobatse,true
BW,10,Ngwaketsi,true
BW,08,North-East,true
BW,11,North-West,true
BW,17,Selibe Phikwe,true
BW,09,South-East,true
BW,18,Sowa Town,true
BY,01,Brest,true
BY,03,Grodnenskaya,true
BY,02,Homyel’ Voblasc’,true
BY,05,Minsk,true
BY,04,Minsk City,true
BY,06,Mogilev,true
BY,07,Vitebsk,true
BZ,01,Belize District,true
BZ,02,Cayo District,true
BZ,03,Corozal District,true
BZ,04,Orange Walk District,true
BZ,05,Southern District,true
BZ,06,Toledo District,true
CA,01,Alberta,true
CA,02,British Columbia,true
CA,03,Manitoba,true
CA,04,New Brunswick,true
CA,05,Newfoundland and Labrador,true
CA,13,Northwest Territories,true
CA,07,Nova Scotia,true
CA,14,Nunavut,true
CA,08,Ontario,true
CA,09,Prince Edward Island,true
CA,10,Quebec,true
CA,11,Saskatchewan,true
CA,12,Yukon,true
CD,08,Bas-Congo,true
CD,13,Bas-Uele,true
CD,04,East Kasai,true
CD,14,Haut-Katanga,true
CD,15,Haut-Lomami,true
CD,16,Haut-Uele,true
CD,17,Ituri,true
CD,18,Kasai,true
CD,23,Kasai-Central,true
CD,06,Kinshasa,true
CD,19,Kwango,true
CD,20,Kwilu,true
CD,21,Lomami,true
CD,22,Lualaba,true
CD,24,Mai-Ndombe,true
CD,10,Maniema,true
CD,25,Mongala,true
CD,26,Nord-Ubangi,true
CD,11,North Kivu,true
CD,27,Sankuru,true
CD,12,South Kivu,true
CD,28,Sud-Ubangi,true
CD,29,Tanganyika,true
CD,30,Tshopo,true
CD,31,Tshuapa,true
CD,02,Équateur,true
CF,01,Bamingui-Bangoran,true
CF,18,Bangui,true
CF,02,Basse-Kotto,true
CF,05,Haut-Mbomou,true
CF,03,Haute-Kotto,true
CF,06,Kémo,true
CF,21,Lim-Pendé,true
CF,07,Lobaye,true
CF,19,Mambéré,true
CF,04,Mambéré-Kadéï,true
CF,08,Mbomou,true
CF,15,Nana-Grébizi,true
CF,09,Nana-Mambéré,true
CF,17,Ombella-M'Poko,true
CF,11,Ouaka,true
CF,12,Ouham,true
CF,20,Ouham-Fafa,true
CF,13,Ouham-Pendé,true
CF,16,Sangha-Mbaéré,true
CF,14,Vakaga,true
CG,01,Bouenza,true
CG,12,Brazzaville,true
CG,13,Cuvette,true
CG,14,Cuvette-Ouest,true
CG,04,Kouilou,true
CG,06,Likouala,true
CG,05,Lékoumou,true
CG,07,Niari,true
CG,08,Plateaux,true
CG,15,Pointe-Noire,true
CG,11,Pool,true
CG,10,Sangha,true
CH,AG,Aargau,true
CH,AR,Appenzell Ausserrhoden,true
CH,AI,Appenzell Innerrhoden,true
CH,BS,Basel-City,true
CH,BL,Basel-Landschaft,true
CH,BE,Bern,true
CH,FR,Fribourg,true
CH,GE,Geneva,true
CH,GL,Glarus,true
CH,GR,Grisons,true
CH,JU,Jura,true
CH,LU,Lucerne,true
CH,NE,Neuchâtel,true
CH,NW,Nidwalden,true
CH,OW,Obwalden,true
CH,SG,Saint Gallen,true
CH,SH,Schaffhausen,true
CH,SZ,Schwyz,true
CH,SO,Solothurn,true
CH,TG,Thurgau,true
CH,TI,Ticino,true
CH,UR,Uri,true
CH,VS,Valais,true
CH,VD,Vaud,true
CH,ZG,Zug,true
CH,ZH,Zurich,true
CI,93,Abidjan Autonomous District,true
CI,76,Bas-Sassandra District,true
CI,94,Comoé District,true
CI,77,Denguélé District,true
CI,95,Gôh-Djiboua,true
CI,81,Lacs District,true
CI,82,Lagunes District,true
CI,78,Montagnes,true
CI,96,Sassandra-Marahoué,true
CI,87,Savanes District,true
CI,90,Vallée du Bandama District,true
CI,97,Woroba,true
CI,98,Yamoussoukro,true
CI,92,Zanzan District,true
CK,11695124,Aitutaki,true
CK,11695126,Atiu,true
CK,11695385,Ma'uke,true
CK,11695127,Mangaia,true
CK,11695384,Manihiki,true
CK,11695386,Mitiaro,true
CK,11695387,Palmerston,true
CK,11695388,Penrhyn,true
CK,11695389,Pukapuka,true
CK,11695390,Rakahanga,true
CK,11695425,Rarotonga,true
CL,03,Antofagasta,true
CL,04,Araucanía,true
CL,16,Arica y Parinacota Region,true
CL,05,Atacama,true
CL,02,Aysén,true
CL,06,Biobío,true
CL,07,Coquimbo Region,true
CL,14,Los Lagos Region,true
CL,17,Los Ríos Region,true
CL,11,Maule Region,true
CL,08,O'Higgins Region,true
CL,10,Region of Magallanes,true
CL,12,Santiago Metropolitan,true
CL,15,Tarapacá,true
CL,01,Valparaíso,true
CL,18,Ñuble,true
CM,10,Adamaoua,true
CM,11,Centre,true
CM,04,East,true
CM,12,Far North,true
CM,05,Littoral,true
CM,13,North,true
CM,07,North-West,true
CM,14,South,true
CM,09,South-West,true
CM,08,West,true
CN,01,Anhui,true
CN,22,Beijing,true
CN,33,Chongqing,true
CN,07,Fujian,true
CN,15,Gansu,true
CN,30,Guangdong,true
CN,16,Guangxi,true
CN,18,Guizhou,true
CN,31,Hainan,true
CN,10,Hebei,true
CN,08,Heilongjiang,true
CN,09,Henan,true
CN,12,Hubei,true
CN,11,Hunan,true
